Humedad (%),Cultivo,Elevación (m),Salinidad (dS/m),Temperatura (°C),Latitud,Longitud
35.8,Maíz,31.8,1.25,31.5,25.525269,-108.480884
19.5,Maíz,39.9,3.2,27.2,25.600618,-108.519701
44.5,Maíz,22.5,1.1,32.2,25.577411,-108.465669
35.5,Maíz,41,2.95,24.8,25.616337,-108.470516
17,Chile,32.1,1.85,28.7,25.522286,-108.480179
22.8,Chile,33.1,1.7,35.7,25.569703,-108.501312
18,Chile,21.7,3.98,26.2,25.579862,-108.510461
27.5,Tomate,17.7,0.58,37.5,25.536138,-108.45039
20.5,Maíz,37.9,1.15,32.5,25.611598,-108.492247
10,Maíz,42.6,2.85,27.8,25.604552,-108.517331
21,Maíz,44.5,0.65,35,25.561935,-108.519274
27.3,Maíz,32.7,3.48,26,25.555427,-108.42319
23,Chile,12.2,1.3,32.8,25.52675,-108.510972
39.8,Chile,31.5,3.05,28.8,25.612885,-108.484575
18.5,Tomate,43.3,3.15,37.7,25.611875,-108.508331
5.5,Chile,27,1.9,20.6,25.579335,-108.467927
19,Maíz,25.6,3.7,35,25.576945,-108.502777
27.1,Maíz,37,0.95,31,25.549215,-108.518659
36.1,Maíz,32.3,1.28,31.2,25.525269,-108.480884
19.8,Maíz,40.2,3.23,27.3,25.600618,-108.519701
44,Maíz,22.2,1.13,32,25.577411,-108.465669
35.2,Maíz,40.7,2.98,24.5,25.616337,-108.470516
17.5,Chile,32.4,1.88,28.9,25.522286,-108.480179
23.1,Chile,33.4,1.73,35.9,25.569703,-108.501312
18.3,Chile,22,4.01,26.4,25.579862,-108.510461
27.8,Tomate,17.9,0.61,37.7,25.536138,-108.45039
20.8,Maíz,38.1,1.18,32.7,25.611598,-108.492247
10.3,Maíz,42.9,2.88,28,25.604552,-108.517331
21.3,Maíz,44.8,0.68,35.2,25.561935,-108.519274
27.6,Maíz,33,3.51,26.2,25.555427,-108.42319
23.3,Chile,12.5,1.33,33,25.52675,-108.510972
40.1,Chile,31.8,3.08,29,25.612885,-108.484575
18.8,Tomate,43.6,3.18,37.9,25.611875,-108.508331
5.8,Chile,27.3,1.93,20.8,25.579335,-108.467927
19.3,Maíz,25.9,3.73,35.2,25.576945,-108.502777
27.4,Maíz,37.3,0.98,31.2,25.549215,-108.518659
36.4,Maíz,32.6,1.31,31.4,25.525269,-108.480884
20.1,Maíz,40.5,3.26,27.5,25.600618,-108.519701
43.7,Maíz,22.8,1.16,32.2,25.577411,-108.465669
34.9,Maíz,41.2,3.01,24.7,25.616337,-108.470516
17.8,Chile,32.7,1.91,29.1,25.522286,-108.480179
23.4,Chile,33.7,1.76,36.1,25.569703,-108.501312
18.6,Chile,22.3,4.04,26.6,25.579862,-108.510461
28.1,Tomate,18.2,0.64,37.9,25.536138,-108.45039
21.1,Maíz,38.4,1.21,32.9,25.611598,-108.492247
10.6,Maíz,43.2,2.91,28.2,25.604552,-108.517331
21.6,Maíz,45.1,0.71,35.4,25.561935,-108.519274
27.9,Maíz,33.3,3.54,26.4,25.555427,-108.42319
23.6,Chile,12.8,1.36,33.2,25.52675,-108.510972
40.4,Chile,32.1,3.11,29.2,25.612885,-108.484575
19.1,Tomate,43.9,3.21,38.1,25.611875,-108.508331
6.1,Chile,27.6,1.96,21,25.579335,-108.467927
19.6,Maíz,26.2,3.76,35.4,25.576945,-108.502777
27.7,Maíz,37.6,1.01,31.4,25.549215,-108.518659
36.7,Maíz,32.9,1.34,31.6,25.525269,-108.480884
20.4,Maíz,40.8,3.29,27.7,25.600618,-108.519701
43.4,Maíz,23.1,1.19,32.4,25.577411,-108.465669
34.6,Maíz,41.5,3.04,24.9,25.616337,-108.470516
18.1,Chile,33,1.94,29.3,25.522286,-108.480179
23.7,Chile,34,1.79,36.3,25.569703,-108.501312
18.9,Chile,22.6,4.07,26.8,25.579862,-108.510461
28.4,Tomate,18.5,0.67,38.1,25.536138,-108.45039
21.4,Maíz,38.7,1.24,33.1,25.611598,-108.492247
10.9,Maíz,43.5,2.94,28.4,25.604552,-108.517331
21.9,Maíz,45.4,0.74,35.6,25.561935,-108.519274
28.2,Maíz,33.6,3.57,26.6,25.555427,-108.42319
23.9,Chile,13.1,1.39,33.4,25.52675,-108.510972
40.7,Chile,32.4,3.14,29.4,25.612885,-108.484575
19.4,Tomate,44.2,3.24,38.3,25.611875,-108.508331
6.4,Chile,27.9,1.99,21.2,25.579335,-108.467927
19.9,Maíz,26.5,3.79,35.6,25.576945,-108.502777
28,Maíz,37.9,1.04,31.6,25.549215,-108.518659
37,Maíz,33.2,1.37,31.8,25.525269,-108.480884
20.7,Maíz,41.1,3.32,27.9,25.600618,-108.519701
43.1,Maíz,23.4,1.22,32.6,25.577411,-108.465669
34.3,Maíz,41.8,3.07,25.1,25.616337,-108.470516
18.4,Chile,33.3,1.97,29.5,25.522286,-108.480179
24,Chile,34.3,1.82,36.5,25.569703,-108.501312
19.2,Chile,22.9,4.1,27,25.579862,-108.510461
28.7,Tomate,18.8,0.7,38.3,25.536138,-108.45039
21.7,Maíz,39,1.27,33.3,25.611598,-108.492247
11.2,Maíz,43.8,2.97,28.6,25.604552,-108.517331
22.2,Maíz,45.7,0.77,35.8,25.561935,-108.519274
28.5,Maíz,33.9,3.6,26.8,25.555427,-108.42319
24.2,Chile,13.4,1.42,33.6,25.52675,-108.510972
41,Chile,32.7,3.17,29.6,25.612885,-108.484575
19.7,Tomate,44.5,3.27,38.5,25.611875,-108.508331
6.7,Chile,28.2,2.02,21.4,25.579335,-108.467927
20.2,Maíz,26.8,3.82,35.8,25.576945,-108.502777
28.3,Maíz,38.2,1.07,31.8,25.549215,-108.518659
37.3,Maíz,33.5,1.4,32,25.525269,-108.480884
21,Maíz,41.4,3.35,28.1,25.600618,-108.519701
42.8,Maíz,23.7,1.25,32.8,25.577411,-108.465669
34,Maíz,42.1,3.1,25.3,25.616337,-108.470516
18.7,Chile,33.6,2,29.7,25.522286,-108.480179
24.3,Chile,34.6,1.85,36.7,25.569703,-108.501312
19.5,Chile,23.2,4.13,27.2,25.579862,-108.510461
29,Tomate,19.1,0.73,38.5,25.536138,-108.45039
22,Maíz,39.3,1.3,33.5,25.611598,-108.492247
11.5,Maíz,44.1,3,28.8,25.604552,-108.517331
22.5,Maíz,46,0.8,36,25.561935,-108.519274
28.8,Maíz,34.2,3.63,27,25.555427,-108.42319
24.5,Chile,13.7,1.45,33.8,25.52675,-108.510972
41.3,Chile,33,3.2,29.8,25.612885,-108.484575
20,Tomate,44.8,3.3,38.7,25.611875,-108.508331
7,Chile,28.5,2.05,21.6,25.579335,-108.467927
20.5,Maíz,27.1,3.85,36,25.576945,-108.502777
28.6,Maíz,38.5,1.1,32,25.549215,-108.518659